Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Title,Country
25,-2,Ivandro - Chakras (w/ Julinho Ksd),288,1,(x30),"27,768","+2,558","169,196","+2,339","13,118,885",Ivandro,Chakras (w/ Julinho Ksd),Portugal
26,-6,Slow J - Fogo,78,6,,"27,391",+944,"185,106","-4,139","2,614,690",Slow J,Fogo,Portugal
27,+3,"Pineapple StormTv - Poesia Acústica 15 (w/ Salve Malak, Mc Poze do Rodo, Luiz Lins, MC Hariel, Azzy, JayA Luuck, Oruam, Slipmami, MC Cabelinho, Chefin)",47,23,,"26,260","+2,623","172,962",-568,"1,061,350",Pineapple StormTv,"Poesia Acústica 15 (w/ Salve Malak, Mc Poze do Rodo, Luiz Lins, MC Hariel, Azzy, JayA Luuck, Oruam, Slipmami, MC Cabelinho, Chefin)",Portugal
28,-2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",89,19,,"25,720","+1,099","180,127","-2,821","1,546,468",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",Portugal
29,-4,Ivandro - Chamadas (w/ Van Zee),134,3,(x5),"25,648",+958,"168,031","-1,440","4,442,261",Ivandro,Chamadas (w/ Van Zee),Portugal
30,-3,21 Savage - redrum,29,10,,"25,364",+760,"173,980","-3,498","807,466",21 Savage,redrum,Portugal
1,=,Tony One - Sistem Otoman (w/ Costel Biju),23,1,(x18),"58,300","+5,195","377,665",+324,"934,405",Tony One,Sistem Otoman (w/ Costel Biju),Romania
2,=,"NOUA UNSPE - ZODIAC (w/ RAVA, BITTNER)",8,2,(x8),"47,263","+4,746","295,169","+7,378","335,054",NOUA UNSPE,"ZODIAC (w/ RAVA, BITTNER)",Romania
3,=,Aerozen - NARDO WICK,2,3,(x2),"32,993","-1,928","67,914","+32,993","67,914",Aerozen,NARDO WICK,Romania
4,=,Iuly Neamtu - Iubire in Rate (w/ Ministerul Manelelor),18,3,(x2),"32,436","+4,474","182,565","+7,318","377,675",Iuly Neamtu,Iubire in Rate (w/ Ministerul Manelelor),Romania
5,=,Jador - Fana (w/ Manele Mentolate),66,1,(x24),"29,117","+2,646","179,604","-1,718","2,253,290",Jador,Fana (w/ Manele Mentolate),Romania
6,+4,"Tzanca Uraganu - HOT (w/ Andrei G, Ministerul Manelelor)",119,2,(x14),"28,813","+5,206","172,640","+5,170","2,270,566",Tzanca Uraganu,"HOT (w/ Andrei G, Ministerul Manelelor)",Romania
7,-1,Alex Botea - Romeo si Julieta,106,1,(x25),"28,729","+3,093","184,106",+648,"2,560,553",Alex Botea,Romeo si Julieta,Romania
8,-1,"Robi - FREEZING COLD (w/ Aerozen, Tussin)",45,1,(x3),"28,029","+2,973","168,736","+1,167","1,368,313",Robi,"FREEZING COLD (w/ Aerozen, Tussin)",Romania
9,-1,Tzanca Uraganu - Ciocolata,182,1,(x14),"26,968","+2,739","159,082","+2,991","3,984,646",Tzanca Uraganu,Ciocolata,Romania
10,-1,Iuly Neamtu - Pe un pat (w/ Manele Mentolate),268,4,,"25,963","+2,022","156,980","+3,457","4,085,729",Iuly Neamtu,Pe un pat (w/ Manele Mentolate),Romania
11,=,Dani Mocanu - Money,7,4,,"24,625","+2,447","151,734","+24,625","151,734",Dani Mocanu,Money,Romania
12,+1,Rich Amiri - ONE CALL,41,9,,"23,819","+2,606","144,650","+2,577","635,681",Rich Amiri,ONE CALL,Romania
13,-1,21 Savage - redrum,29,4,,"23,362","+1,486","139,301","+2,383","584,850",21 Savage,redrum,Romania
14,+1,Tzanca Uraganu - Țigancă Balcanică (w/ Manele Mentolate),180,7,,"21,936","+2,599","121,551","+4,103","2,126,412",Tzanca Uraganu,Țigancă Balcanică (w/ Manele Mentolate),Romania
15,+1,Alex Botea - Decibeli,41,12,,"20,964","+2,132","124,742","+2,772","511,722",Alex Botea,Decibeli,Romania
16,-2,Travis Scott - FE!N,197,1,(x7),"20,813","+1,353","119,805","+5,089","2,418,899",Travis Scott,FE!N,Romania
17,+2,Iuly Neamtu - Amore (w/ Manele Mentolate),57,14,,"20,538","+3,107","119,124","+3,487","610,243",Iuly Neamtu,Amore (w/ Manele Mentolate),Romania
18,-1,RAVA - GEME,171,1,(x2),"19,562","+1,126","112,517","+2,951","3,199,855",RAVA,GEME,Romania
19,+4,Iuly Neamtu - Fancy (w/ Manele Mentolate),57,12,,"18,942","+3,257","109,443","+2,329","633,771",Iuly Neamtu,Fancy (w/ Manele Mentolate),Romania
20,=,"Robi - SUS (w/ Aerozen, Sapte)",44,4,,"18,433","+1,409","116,476","-1,717","831,547",Robi,"SUS (w/ Aerozen, Sapte)",Romania
21,+1,Tzanca Uraganu - Emirate (w/ Manele Mentolate),319,1,(x22),"18,150","+2,092","108,515","+3,430","4,479,253",Tzanca Uraganu,Emirate (w/ Manele Mentolate),Romania
22,-1,RAVA - BELLY DANCE,45,4,,"18,147","+1,816","116,922",+630,"797,394",RAVA,BELLY DANCE,Romania
23,+7,Costel Biju - Gipsy Style,294,5,,"17,113","+3,460","102,029","+2,542","3,643,001",Costel Biju,Gipsy Style,Romania
24,-6,Aerozen - ZENUZILE,150,2,(x1),"16,890",-828,"112,873","-3,685","2,167,632",Aerozen,ZENUZILE,Romania
25,+2,"4 226 - RUPE-TE MAMI (w/ RAVA, Ravisval, BITTNER, Giovanni, BROKN, EXPOSURE)",162,4,,"16,390","+1,977","101,416","+1,514","2,555,962",4 226,"RUPE-TE MAMI (w/ RAVA, Ravisval, BITTNER, Giovanni, BROKN, EXPOSURE)",Romania
26,+9,Iuly Neamtu - Lalele mentolate (w/ Manele Mentolate),411,2,(x27),"16,136","+3,496","79,216","+5,511","5,635,426",Iuly Neamtu,Lalele mentolate (w/ Manele Mentolate),Romania
27,-3,rares - La tine și la bani (w/ Bogdan DLP),426,1,(x73),"16,101",+655,"93,974","+3,732","7,265,140",rares,La tine și la bani (w/ Bogdan DLP),Romania
28,-3,Tate McRae - greedy,148,5,,"15,227",+38,"105,013",-807,"1,997,549",Tate McRae,greedy,Romania
29,+15,Iuly Neamtu - Cum O Dai Tu (w/ Manele Mentolate),832,7,,"14,972","+3,428","77,382","+4,421","5,490,422",Iuly Neamtu,Cum O Dai Tu (w/ Manele Mentolate),Romania
30,+1,Aerozen - GINN,82,10,,"14,880","+1,437","88,691",+463,"769,053",Aerozen,GINN,Romania
1,=,shadowraze - showdown,36,1,(x35),"128,269","+2,490","965,737","-23,144","8,641,801",shadowraze,showdown,Russia
2,=,shadowraze - astral step,161,1,(x42),"97,105","+1,868","726,359","-14,140","16,696,311",shadowraze,astral step,Russia
3,=,WENARO - Лёд (w/ LXNER),224,3,(x12),"64,849","+1,954","462,569","-5,248","12,997,793",WENARO,Лёд (w/ LXNER),Russia
4,=,"shadowraze - adaptive strike (w/ LXNER, quiizzzmeow)",57,1,(x1),"60,642","+1,141","443,422","-7,207","5,606,004",shadowraze,"adaptive strike (w/ LXNER, quiizzzmeow)",Russia
5,=,fem.love - Фотографирую закат,367,3,(x13),"52,246",+919,"382,018","-6,421","17,030,288",fem.love,Фотографирую закат,Russia
6,=,shadowraze - shadowfiend,189,5,,"50,606","+1,327","378,071","-7,353","8,498,675",shadowraze,shadowfiend,Russia
7,=,rizza - плачь (w/ Sqwore),187,7,,"48,251","+1,132","333,703","-2,043","9,806,012",rizza,плачь (w/ Sqwore),Russia
8,=,shadowraze - juggernaut (Prod. by PLVSTIC),237,7,,"46,779","+1,539","345,949","-6,245","8,905,821",shadowraze,juggernaut (Prod. by PLVSTIC),Russia
9,+1,Шайни - Yeyo!,56,8,,"44,979","+1,348","312,007","-2,499","3,229,990",Шайни,Yeyo!,Russia
10,-1,FACE - ЛАБИРИНТ,132,8,,"44,734",+154,"325,170","-5,121","3,653,346",FACE,ЛАБИРИНТ,Russia
11,+4,zxcursed - Never Enough,26,7,,"40,724","+2,171","283,394",-906,"1,220,740",zxcursed,Never Enough,Russia
12,-1,shadowraze - psiblades (w/ babyswishh1),186,9,,"40,594",+721,"301,176","-5,890","7,068,435",shadowraze,psiblades (w/ babyswishh1),Russia
13,=,"uniqe - ТОЛПЫ КРИЧАТ (w/ nkeeei, ARTEM SHILOVETS)",192,1,(x6),"39,841",+746,"282,155","-1,459","11,784,082",uniqe,"ТОЛПЫ КРИЧАТ (w/ nkeeei, ARTEM SHILOVETS)",Russia
14,=,quiizzzmeow - Aomine Daiki,186,1,(x3),"39,304",+539,"289,467","-5,255","9,365,405",quiizzzmeow,Aomine Daiki,Russia
15,-3,Big Baby Tape - 99 Problems (w/ kizaru),169,1,(x42),"39,016",-242,"286,916","-6,073","19,180,082",Big Baby Tape,99 Problems (w/ kizaru),Russia
16,+2,shadowraze - 1000-7 (w/ GENJUTSU),240,11,,"38,768","+1,136","286,442","-4,976","7,616,921",shadowraze,1000-7 (w/ GENJUTSU),Russia
17,-1,GAYAZOV$ BROTHER$ - МАЛИНОВАЯ ЛАДА,113,2,(x22),"38,657",+177,"295,396","-8,440","8,278,117",GAYAZOV$ BROTHER$,МАЛИНОВАЯ ЛАДА,Russia
18,-1,Big Baby Tape - Bandana (w/ kizaru),169,1,(x8),"37,690",-387,"279,480","-4,851","16,674,985",Big Baby Tape,Bandana (w/ kizaru),Russia
19,+1,Big Baby Tape - Million (w/ kizaru),169,2,(x37),"35,064",-564,"260,836","-5,302","16,731,726",Big Baby Tape,Million (w/ kizaru),Russia
20,-1,FACE - Домино,107,12,,"34,789","-1,169","247,799","+1,534","2,539,050",FACE,Домино,Russia
21,=,INSTASAMKA - SHAKE,14,8,,"33,936",-453,"259,677","-9,868","609,367",INSTASAMKA,SHAKE,Russia
22,=,Miyagi & Andy Panda - Marmalade (w/ Mav-d),140,3,(x1),"33,901",-334,"246,812","-2,172","9,785,409",Miyagi & Andy Panda,Marmalade (w/ Mav-d),Russia
23,=,DVRST - Close Eyes,301,7,,"32,543",+387,"241,683","-4,685","14,577,046",DVRST,Close Eyes,Russia
24,+1,163ONMYNECK - ВЫКЛЮЧАТЕЛЬ,49,18,,"31,566","+1,078","216,199","-1,138","2,087,024",163ONMYNECK,ВЫКЛЮЧАТЕЛЬ,Russia
25,+1,Alyona Shvets - первое свидание,210,8,,"31,545","+1,165","228,447","-5,109","5,917,008",Alyona Shvets,первое свидание,Russia
26,-2,163ONMYNECK - ЖМУРКИ,49,9,,"30,260",-518,"221,952","-3,393","2,308,675",163ONMYNECK,ЖМУРКИ,Russia
27,+2,zxcursed - bankai,7,12,,"29,499",+588,"249,679","+29,499","249,679",zxcursed,bankai,Russia
28,-1,MORGENSHTERN - 12,23,4,,"29,464",+20,"227,214","-10,857","1,152,315",MORGENSHTERN,12,Russia
29,-1,pyrokinesis - Днями-ночами (w/ MUKKA),631,19,,"28,662",-708,"247,217","-10,634","13,415,307",pyrokinesis,Днями-ночами (w/ MUKKA),Russia
30,+1,Mr.Kitty - After Dark,533,30,,"28,513",+14,"206,627","-2,016","11,081,432",Mr.Kitty,After Dark,Russia
1,=,Jimin - Like Crazy,322,1,(x20),"19,888","+2,149","121,813","+5,014","2,873,515",Jimin,Like Crazy,Saudi Arabia
2,=,Mitski - My Love Mine All Mine,147,1,(x39),"15,959","-1,028","111,903","-1,488","2,026,145",Mitski,My Love Mine All Mine,Saudi Arabia
3,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",190,2,(x12),"15,046","-1,546","107,040","-1,592","1,567,178",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",Saudi Arabia
4,=,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,2,(x4),"13,046","-1,839","90,051","-1,751","1,642,853",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Saudi Arabia
5,+1,V - Love Me Again,183,1,(x9),"12,225",-405,"78,896","+2,254","2,374,897",V,Love Me Again,Saudi Arabia
6,-1,Tamer Ashour - هيجيلي موجوع,24,2,(x1),"11,985","-1,924","81,367","-1,004","282,451",Tamer Ashour,هيجيلي موجوع,Saudi Arabia
7,+1,Jung Kook - Seven (w/ Latto),211,1,(x92),"11,889",+525,"78,696",+817,"4,928,963",Jung Kook,Seven (w/ Latto),Saudi Arabia
