Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Title,Country
7,=,"Bizarrap - Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",30,1,(x4),"31,983",+230,"247,170","-9,602","1,318,276",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",Costa Rica
8,+1,Carin Leon - Primera Cita,251,1,(x23),"31,105",+329,"226,425","-2,908","7,847,840",Carin Leon,Primera Cita,Costa Rica
9,-3,Belinda - Cactus,8,6,,"30,265","-4,782","139,605","+21,547","156,929",Belinda,Cactus,Costa Rica
10,=,KAROL G - AMARGURA,334,6,,"28,300","+2,566","187,155","+1,533","6,675,581",KAROL G,AMARGURA,Costa Rica
11,+6,Kany García - Te Lo Agradezco (w/ Carin Leon),185,11,,"26,869","+5,052","151,025","+6,185","2,670,852",Kany García,Te Lo Agradezco (w/ Carin Leon),Costa Rica
12,-1,Myke Towers - LA FALDA,69,11,,"26,401","+1,200","166,109","+4,772","762,753",Myke Towers,LA FALDA,Costa Rica
13,=,KAROL G - MI EX TENÍA RAZÓN,183,2,(x11),"25,823","+1,167","171,083","+1,824","5,204,020",KAROL G,MI EX TENÍA RAZÓN,Costa Rica
14,-2,Grupo Frontera - EL AMOR DE SU VIDA (w/ Grupo Firme),191,3,(x1),"25,318",+510,"191,207","-3,893","4,801,070",Grupo Frontera,EL AMOR DE SU VIDA (w/ Grupo Firme),Costa Rica
15,-1,Grupo Frontera - un x100to (w/ Bad Bunny),299,1,(x69),"24,667","+1,695","161,059","+1,673","11,545,325",Grupo Frontera,un x100to (w/ Bad Bunny),Costa Rica
16,-1,Feid - Classy 101 (w/ Young Miko),316,2,(x9),"22,495",+188,"151,674","+1,060","10,024,430",Feid,Classy 101 (w/ Young Miko),Costa Rica
17,-1,Xavi - La Víctima,55,9,,"22,064",-35,"169,614","-4,572","1,183,510",Xavi,La Víctima,Costa Rica
18,=,Myke Towers - LALA,229,1,(x64),"21,590",-194,"151,772",+141,"7,851,804",Myke Towers,LALA,Costa Rica
19,+2,Manuel Turizo - La Bachata,621,1,(x125),"21,521","+1,309","142,578",+931,"19,085,773",Manuel Turizo,La Bachata,Costa Rica
20,-1,Dei V - Narcotics (w/ Bryant Myers),145,13,,"21,414",+35,"140,731","+1,613","2,618,164",Dei V,Narcotics (w/ Bryant Myers),Costa Rica
21,-1,Quevedo - Columbia,218,2,(x3),"19,897",-894,"150,994","-2,914","5,757,933",Quevedo,Columbia,Costa Rica
22,=,"Calle 24 - Que Onda (w/ Chino Pacas, Fuerza Regida)",145,13,,"19,187",-125,"131,139",-343,"2,435,769",Calle 24,"Que Onda (w/ Chino Pacas, Fuerza Regida)",Costa Rica
23,+9,Plan B - Es un Secreto,588,17,,"18,712","+2,083","124,147",+329,"6,525,283",Plan B,Es un Secreto,Costa Rica
24,+1,Carin Leon - Que Vuelvas (w/ Grupo Frontera),400,8,,"18,621",+729,"131,805",-554,"7,700,128",Carin Leon,Que Vuelvas (w/ Grupo Frontera),Costa Rica
25,+6,"Becky G - POR EL CONTRARIO (w/ Ángela Aguilar, Leonardo Aguilar)",110,25,,"18,193","+1,480","116,914",+220,"1,328,577",Becky G,"POR EL CONTRARIO (w/ Ángela Aguilar, Leonardo Aguilar)",Costa Rica
26,-3,Peso Pluma - BELLAKEO (w/ Anitta),57,17,,"17,799",-383,"137,718","-3,410","934,856",Peso Pluma,BELLAKEO (w/ Anitta),Costa Rica
27,+1,Feid - Feliz Cumpleaños Ferxxo,540,3,(x12),"17,549",-159,"124,901",-481,"14,183,278",Feid,Feliz Cumpleaños Ferxxo,Costa Rica
28,-2,Eladio Carrion - Hey Lil Mama (w/ Rauw Alejandro),22,6,,"17,443",-423,"126,333","-2,339","475,114",Eladio Carrion,Hey Lil Mama (w/ Rauw Alejandro),Costa Rica
29,-5,Kali Uchis - Igual Que Un Ángel (w/ Peso Pluma),29,11,,"17,215",-867,"133,754","-4,110","623,966",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),Costa Rica
30,+4,Dei V - Quien Es Dei V?,141,29,,"17,147",+759,"109,787","+1,780","1,858,629",Dei V,Quien Es Dei V?,Costa Rica
1,=,"DJ Khaled - Wild Thoughts (w/ Rihanna, Bryson Tiller)",48,1,(x46),"1,062",-77,"7,432",-179,"56,963",DJ Khaled,"Wild Thoughts (w/ Rihanna, Bryson Tiller)",Cyprus
1,=,Benson Boone - Beautiful Things,22,1,(x9),"48,403","+5,400","310,086","+4,356","697,397",Benson Boone,Beautiful Things,Czech Republic
2,+1,Viktor Sheen - Dopamin,120,1,(x60),"39,898","+3,495","245,487","+2,104","6,489,888",Viktor Sheen,Dopamin,Czech Republic
3,+2,Calin - Safír (w/ Viktor Sheen),372,1,(x197),"38,071","+4,457","234,301","+1,327","22,565,110",Calin,Safír (w/ Viktor Sheen),Czech Republic
4,=,Grey256 - cool,49,1,(x24),"37,852","+3,833","225,149","+1,362","1,787,056",Grey256,cool,Czech Republic
5,-3,Sofian Medjmedj - moonlight,8,2,(x4),"37,748",+558,"244,698","+12,824","269,622",Sofian Medjmedj,moonlight,Czech Republic
6,+2,STEIN27 - Habibi,449,1,(x38),"32,868","+3,554","199,051",-475,"17,770,581",STEIN27,Habibi,Czech Republic
7,+2,Ben Cristovao - MMA (w/ Sofian Medjmedj),92,3,(x4),"32,320","+3,506","207,948","-1,193","2,581,014",Ben Cristovao,MMA (w/ Sofian Medjmedj),Czech Republic
8,+3,Rohony - U Hřiště 380 (w/ mdmx),113,6,,"31,619","+4,627","178,963","+4,005","2,551,941",Rohony,U Hřiště 380 (w/ mdmx),Czech Republic
9,-3,Natasha Bedingfield - Unwritten,30,6,,"30,373",+786,"190,369","+3,055","663,058",Natasha Bedingfield,Unwritten,Czech Republic
10,=,Marko Damian - Lovesick,8,9,,"29,926","+1,709","182,412","+4,703","207,635",Marko Damian,Lovesick,Czech Republic
11,-4,Tate McRae - greedy,147,3,(x1),"29,558",+188,"195,847","-1,881","3,977,875",Tate McRae,greedy,Czech Republic
12,NEW,Robin Zoot - Z BOKU NA BOK,1,12,,"29,212",,"29,212","+29,212","29,212",Robin Zoot,Z BOKU NA BOK,Czech Republic
13,-1,Sofian Medjmedj - Slzy (w/ Ben Cristovao),294,3,(x10),"27,836","+3,174","171,348","+1,182","7,594,382",Sofian Medjmedj,Slzy (w/ Ben Cristovao),Czech Republic
14,+3,Dollar Prync - Režim nerušit (w/ Hard Rico),176,1,(x4),"25,782","+3,149","155,198",+104,"5,506,778",Dollar Prync,Režim nerušit (w/ Hard Rico),Czech Republic
15,-2,Calin - Dívej (w/ Viktor Sheen),371,1,(x1),"25,207","+1,140","150,579","+3,436","12,587,161",Calin,Dívej (w/ Viktor Sheen),Czech Republic
16,-2,"cassö - Prada (w/ RAYE, D-Block Europe)",181,7,,"25,061","+1,861","151,968",+790,"3,754,570",cassö,"Prada (w/ RAYE, D-Block Europe)",Czech Republic
17,-1,Robin Zoot - Givenchy,232,2,(x29),"24,494","+1,679","150,320",+592,"7,116,957",Robin Zoot,Givenchy,Czech Republic
18,-3,David Kushner - Daylight,299,2,(x14),"23,246",+112,"155,995","-1,051","8,817,309",David Kushner,Daylight,Czech Republic
19,-1,Kenya Grace - Strangers,161,3,(x16),"22,852","+1,326","142,457",+29,"4,236,533",Kenya Grace,Strangers,Czech Republic
20,+3,Hard Rico - Brick na brick,156,5,,"22,574","+2,481","133,756",+968,"3,760,575",Hard Rico,Brick na brick,Czech Republic
21,-1,Miley Cyrus - Flowers,392,1,(x19),"21,666","+1,396","118,646","+7,585","10,175,491",Miley Cyrus,Flowers,Czech Republic
22,+5,Viktor Sheen - Království,119,2,(x25),"21,593","+2,121","127,565","+3,153","3,736,550",Viktor Sheen,Království,Czech Republic
23,-2,Viktor Sheen - Stíny,812,1,(x89),"21,459","+1,226","133,311","+1,398","20,881,583",Viktor Sheen,Stíny,Czech Republic
24,+1,Vance Joy - Riptide,1701,11,,"21,392","+1,752","137,641",-410,"10,431,798",Vance Joy,Riptide,Czech Republic
25,+3,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),532,1,(x48),"21,233","+1,867","132,011",+20,"13,842,755",David Guetta,I'm Good (Blue) (w/ Bebe Rexha),Czech Republic
26,-4,STEIN27 - Adikts,36,8,,"20,913",+768,"137,141","-2,851","815,455",STEIN27,Adikts,Czech Republic
27,-3,"Alok - LET'S GET FKD UP (w/ Mondello'G, CERES, Tribbs)",42,20,,"20,844","+1,104","134,167",-914,"634,519",Alok,"LET'S GET FKD UP (w/ Mondello'G, CERES, Tribbs)",Czech Republic
28,-2,Separ - Sunset (w/ P T K),315,4,,"20,516",+994,"120,274","+2,151","6,041,723",Separ,Sunset (w/ P T K),Czech Republic
29,+1,Calin - Hannah Montana,699,1,(x175),"20,345","+1,808","130,773","-1,759","22,721,583",Calin,Hannah Montana,Czech Republic
30,+1,Nik Tendo - RANDAL,34,3,(x1),"19,411","+1,025","137,021","-6,843","608,061",Nik Tendo,RANDAL,Czech Republic
1,=,Gilli - 555 (w/ KESI),99,1,(x58),"78,528","+6,044","505,925","-6,890","7,707,027",Gilli,555 (w/ KESI),Denmark
2,+1,Thor Farlov - Alt Det (w/ Noah Carter),8,2,(x1),"72,463","+7,606","385,008","+17,201","440,270",Thor Farlov,Alt Det (w/ Noah Carter),Denmark
3,-1,Merro8 - Intet Nyt (w/ Gilli),8,1,(x1),"70,387","+1,478","460,296","-25,055","555,738",Merro8,Intet Nyt (w/ Gilli),Denmark
4,+1,D1MA - I KNOW,232,1,(x13),"69,706","+13,375","405,872","-1,989","14,693,449",D1MA,I KNOW,Denmark
5,-1,Artigeardit - Sent (w/ Lamin),22,1,(x7),"67,843","+6,111","422,316","-8,491","1,519,346",Artigeardit,Sent (w/ Lamin),Denmark
6,+3,Baloosh - Danser Med Dæmoner (w/ Omar),99,3,(x11),"56,741","+5,184","351,394","-4,722","5,075,392",Baloosh,Danser Med Dæmoner (w/ Omar),Denmark
7,-1,Gobs - Livet Er Kort,8,2,(x1),"56,133","+1,387","389,897","-29,687","475,717",Gobs,Livet Er Kort,Denmark
8,-1,Gobs - Tak For Sidst,246,1,(x88),"55,473","+2,897","361,750","-20,234","17,219,720",Gobs,Tak For Sidst,Denmark
9,+3,Område 69 - Varm,43,7,,"53,467","+7,926","324,055",+234,"1,829,312",Område 69,Varm,Denmark
10,-2,Gilli - Skarpt Lys,127,1,(x28),"52,982",+909,"358,634","-3,124","7,546,652",Gilli,Skarpt Lys,Denmark
11,=,Gobs - Ud Af Hovedet (w/ ICEKIID),8,6,,"51,260",+588,"351,848","-20,877","423,985",Gobs,Ud Af Hovedet (w/ ICEKIID),Denmark
12,+1,Mumle - Det Modsatte,66,7,,"50,151","+4,923","318,822","-3,582","1,864,862",Mumle,Det Modsatte,Denmark
13,-3,Tate McRae - greedy,148,1,(x17),"49,103","-1,878","326,339","-4,128","8,385,548",Tate McRae,greedy,Denmark
14,NEW,Branco - FEAR NOBODY,1,14,,"48,197",,"48,197","+48,197","48,197",Branco,FEAR NOBODY,Denmark
15,+3,Ukendt Kunstner - Uden Dig,273,1,(x24),"45,894","+7,809","265,415",+204,"15,757,876",Ukendt Kunstner,Uden Dig,Denmark
16,-2,YG Marley - Praise Jah In The Moonlight,19,14,,"44,291","+3,144","254,997","+17,341","450,379",YG Marley,Praise Jah In The Moonlight,Denmark
17,+2,Benson Boone - Beautiful Things,22,10,,"44,053","+6,022","277,584","+4,068","636,138",Benson Boone,Beautiful Things,Denmark
18,+2,Caroline Dubois - Tilfældigt (w/ D1MA),217,11,,"43,755","+6,405","271,034","-2,330","7,276,803",Caroline Dubois,Tilfældigt (w/ D1MA),Denmark
19,-2,"cassö - Prada (w/ RAYE, D-Block Europe)",182,1,(x1),"43,049","+4,277","254,042","-1,631","8,544,534",cassö,"Prada (w/ RAYE, D-Block Europe)",Denmark
20,-4,Noah Kahan - Stick Season,49,12,,"41,521","+2,648","262,466",+159,"1,254,594",Noah Kahan,Stick Season,Denmark
21,-6,Jack Harlow - Lovin On Me,92,3,(x13),"40,112",-595,"268,159","-7,135","4,482,517",Jack Harlow,Lovin On Me,Denmark
22,+3,Ida Laurberg - Jeg Ka' Rigtig Godt Li' Dig (w/ andreas odbjerg),252,2,(x12),"37,786","+4,302","244,035","-2,286","11,908,054",Ida Laurberg,Jeg Ka' Rigtig Godt Li' Dig (w/ andreas odbjerg),Denmark
23,-2,Teddy Swims - Lose Control,57,17,,"37,329",+241,"243,873","-2,154","1,230,833",Teddy Swims,Lose Control,Denmark
24,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",248,13,,"36,735","+2,959","234,911","-4,149","6,307,681",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Denmark
25,+5,D1MA - MOONLIGHT,343,1,(x17),"36,205","+5,071","222,285","-2,950","17,016,201",D1MA,MOONLIGHT,Denmark
26,+2,URO - Godthåbsvej,86,21,,"35,843","+4,575","208,719","+1,008","1,611,557",URO,Godthåbsvej,Denmark
27,-3,Dua Lipa - Houdini,90,12,,"35,549","+1,918","228,619","-1,252","2,242,277",Dua Lipa,Houdini,Denmark
28,-6,Natasha Bedingfield - Unwritten,35,22,,"34,641",+785,"215,435","+1,155","853,740",Natasha Bedingfield,Unwritten,Denmark
29,+2,URO - Føles Godt (w/ Mekdes),372,11,,"33,457","+2,891","208,065",-675,"10,820,577",URO,Føles Godt (w/ Mekdes),Denmark
30,+2,Branco - FORSVINDER (w/ Gobs),119,2,(x5),"33,122","+2,963","201,065","-1,594","4,450,976",Branco,FORSVINDER (w/ Gobs),Denmark
1,+49,Albert la Ley - Esa Niña,5,1,(x3),"94,978","+87,143","171,025","+94,978","316,944",Albert la Ley,Esa Niña,Dominican Republic
2,-1,Jey One - Tuwi Tuwi (w/ Donaty),45,1,(x4),"31,423","+5,163","210,599",-152,"1,059,607",Jey One,Tuwi Tuwi (w/ Donaty),Dominican Republic
3,+19,"Engel Montaz - Culiacan (w/ Kuv507, Latinnites Music)",58,1,(x9),"30,738","+18,665","193,790","+10,922","2,190,128",Engel Montaz,"Culiacan (w/ Kuv507, Latinnites Music)",Dominican Republic
4,+20,"El Chuky De Lewa - Rumine (w/ Yomel El Meloso, Kaly Ocho, Kreizy k)",13,3,(x2),"28,277","+17,243","145,991","+14,376","239,740",El Chuky De Lewa,"Rumine (w/ Yomel El Meloso, Kaly Ocho, Kreizy k)",Dominican Republic
5,+20,El Chuky De Lewa - Chu Chu,11,2,(x1),"27,269","+16,265","148,931","+15,850","208,440",El Chuky De Lewa,Chu Chu,Dominican Republic
6,-4,Bad Bunny - PERRO NEGRO (w/ Feid),120,2,(x6),"24,538","+1,455","165,718",-241,"3,198,556",Bad Bunny,PERRO NEGRO (w/ Feid),Dominican Republic
7,-4,Eladio Carrion - Hey Lil Mama (w/ Rauw Alejandro),22,2,(x1),"20,659",+187,"141,562","-1,022","526,819",Eladio Carrion,Hey Lil Mama (w/ Rauw Alejandro),Dominican Republic
8,-4,Xavi - La Diabla,46,4,,"20,366",+706,"145,438","-1,351","684,918",Xavi,La Diabla,Dominican Republic
9,-4,Bad Bunny - MONACO,120,1,(x34),"19,615","+1,385","138,258","-1,541","4,171,590",Bad Bunny,MONACO,Dominican Republic
10,-3,Donaty - Eso E (w/ El Baby R),124,2,(x1),"18,198","+1,165","127,205",-991,"2,487,680",Donaty,Eso E (w/ El Baby R),Dominican Republic
11,-5,Feid - LUNA (w/ ATL Jacob),67,6,,"18,153",+169,"123,818",-72,"850,084",Feid,LUNA (w/ ATL Jacob),Dominican Republic
12,-4,Mestizo Is Back - Se Puede Repetí,85,4,,"18,146","+2,026","125,820",-512,"1,409,800",Mestizo Is Back,Se Puede Repetí,Dominican Republic
13,-4,"Bizarrap - Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",30,7,,"16,434",+910,"121,064","-2,944","583,121",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",Dominican Republic
14,-4,Jhayseven - Pitone,47,10,,"16,269","+1,446","114,522",-360,"620,753",Jhayseven,Pitone,Dominican Republic
15,-4,Bad Bunny - NO ME QUIERO CASAR,120,9,,"15,921","+1,149","107,046",-527,"1,837,875",Bad Bunny,NO ME QUIERO CASAR,Dominican Republic
16,+2,Papera - EN BLUSA (w/ Yoan Retro),14,16,,"15,716","+3,105","93,347","+4,535","137,589",Papera,EN BLUSA (w/ Yoan Retro),Dominican Republic
17,-5,Bad Bunny - FINA (w/ Young Miko),120,2,(x28),"15,634","+1,380","105,041",-676,"3,171,996",Bad Bunny,FINA (w/ Young Miko),Dominican Republic
18,-2,Myke Towers - LA FALDA,78,16,,"13,634",+808,"81,939","+2,941","549,266",Myke Towers,LA FALDA,Dominican Republic
19,-4,KAROL G - QLONA (w/ Peso Pluma),183,5,,"13,578",+627,"91,474",-35,"2,882,821",KAROL G,QLONA (w/ Peso Pluma),Dominican Republic
20,-1,Mestizo Is Back - Dembere,77,11,,"13,566","+1,023","100,186","-1,606","944,580",Mestizo Is Back,Dembere,Dominican Republic
21,-4,Myke Towers - LALA,229,1,(x67),"13,389",+736,"89,105",+106,"6,081,171",Myke Towers,LALA,Dominican Republic
22,+1,KAROL G - AMARGURA,331,9,,"13,238","+1,262","85,945",+930,"4,061,312",KAROL G,AMARGURA,Dominican Republic
23,-3,Jey One - Cintureo - Remix (w/ Yoan Retro),87,2,(x1),"13,158",+999,"97,584","-1,588","1,458,775",Jey One,Cintureo - Remix (w/ Yoan Retro),Dominican Republic
24,-3,Yaisel LM - Prepotente (w/ Kreizy k),205,2,(x3),"13,144","+1,043","91,581",-284,"2,990,276",Yaisel LM,Prepotente (w/ Kreizy k),Dominican Republic
25,-12,Snova - SAL2,10,13,,"13,119",-844,"85,952","+13,119","104,589",Snova,SAL2,Dominican Republic
26,+16,Lomiiel - UN VOLAO,23,26,,"12,126","+3,434","65,402","+3,776","163,825",Lomiiel,UN VOLAO,Dominican Republic
27,=,Bad Bunny - THUNDER Y LIGHTNING (w/ Eladio Carrion),120,7,,"10,707",-13,"74,402",-677,"1,875,665",Bad Bunny,THUNDER Y LIGHTNING (w/ Eladio Carrion),Dominican Republic
28,+4,Rochy RD - Que La Choque,119,7,,"10,684",+865,"73,812",-415,"1,287,111",Rochy RD,Que La Choque,Dominican Republic
29,-1,Dei V - Narcotics (w/ Bryant Myers),146,16,,"10,629",+329,"71,832",+161,"1,455,128",Dei V,Narcotics (w/ Bryant Myers),Dominican Republic
30,-1,Eladio Carrion - TQMQA,57,1,(x1),"10,617",+505,"72,382",-380,"639,910",Eladio Carrion,TQMQA,Dominican Republic
1,=,Feid - LUNA (w/ ATL Jacob),71,1,(x57),"126,805","-1,275","834,056",+903,"7,315,165",Feid,LUNA (w/ ATL Jacob),Ecuador
2,=,Bad Bunny - PERRO NEGRO (w/ Feid),120,1,(x62),"94,677","+1,420","623,426","-1,676","12,414,208",Bad Bunny,PERRO NEGRO (w/ Feid),Ecuador
3,=,Xavi - La Diabla,57,2,(x17),"84,530",+715,"598,983","-10,759","3,984,293",Xavi,La Diabla,Ecuador
4,=,Myke Towers - LA FALDA,73,4,,"72,884","+3,875","445,644","+9,465","2,390,995",Myke Towers,LA FALDA,Ecuador
5,+1,KAROL G - QLONA (w/ Peso Pluma),183,1,(x40),"58,960","+1,036","383,885","+1,520","12,512,172",KAROL G,QLONA (w/ Peso Pluma),Ecuador
6,-1,Maluma - Según Quién (w/ Carin Leon),169,3,(x22),"55,756","-2,551","385,432","-2,297","8,471,820",Maluma,Según Quién (w/ Carin Leon),Ecuador
7,=,Plan B - Es un Secreto,1022,5,,"52,278","+5,584","329,773","+2,466","19,717,852",Plan B,Es un Secreto,Ecuador
8,+1,KAROL G - AMARGURA,350,4,,"47,927","+3,165","300,517","+3,787","13,538,872",KAROL G,AMARGURA,Ecuador
9,-1,Peso Pluma - BELLAKEO (w/ Anitta),60,6,,"47,118",+508,"329,925","-4,502","2,547,633",Peso Pluma,BELLAKEO (w/ Anitta),Ecuador
10,+1,Feid - Classy 101 (w/ Young Miko),316,1,(x3),"43,911","+1,955","274,641","+4,764","18,310,026",Feid,Classy 101 (w/ Young Miko),Ecuador
11,-1,Xavi - La Víctima,54,5,,"42,958","-1,252","313,975","-7,592","2,196,466",Xavi,La Víctima,Ecuador
12,=,Feid - Feliz Cumpleaños Ferxxo,540,1,(x80),"42,131",+651,"280,970",+744,"29,978,650",Feid,Feliz Cumpleaños Ferxxo,Ecuador
13,=,"Calle 24 - Que Onda (w/ Chino Pacas, Fuerza Regida)",151,4,,"41,373",+147,"274,234",-265,"5,473,004",Calle 24,"Que Onda (w/ Chino Pacas, Fuerza Regida)",Ecuador
14,=,Myke Towers - LALA,231,1,(x64),"39,951",-880,"263,096","+1,501","15,787,207",Myke Towers,LALA,Ecuador
15,=,Quevedo - Columbia,218,2,(x27),"38,526","-2,118","274,348","-3,075","10,991,651",Quevedo,Columbia,Ecuador
16,=,"Bizarrap - Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",30,5,,"36,256","-1,378","280,761","-10,080","1,384,374",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",Ecuador
17,+1,Manuel Turizo - La Bachata,619,1,(x27),"34,998",+308,"228,576","+1,205","29,605,464",Manuel Turizo,La Bachata,Ecuador
18,+4,Grupo Frontera - un x100to (w/ Bad Bunny),299,1,(x45),"34,813","+2,981","212,843","+3,423","16,104,009",Grupo Frontera,un x100to (w/ Bad Bunny),Ecuador
19,+5,Blessd - SI SABE FERXXO (w/ Feid),15,16,,"33,837","+2,312","224,366",-625,"478,299",Blessd,SI SABE FERXXO (w/ Feid),Ecuador
20,-3,Mora - LA INOCENTE (w/ Feid),680,8,,"33,540","-1,871","228,189",-905,"24,543,573",Mora,LA INOCENTE (w/ Feid),Ecuador
21,-1,KAROL G - MI EX TENÍA RAZÓN,183,3,(x3),"33,223",+349,"210,116","+3,019","7,299,573",KAROL G,MI EX TENÍA RAZÓN,Ecuador
22,-3,Fuerza Regida - HARLEY QUINN (w/ Marshmello),105,8,,"33,045",-544,"231,612","-2,548","3,789,255",Fuerza Regida,HARLEY QUINN (w/ Marshmello),Ecuador
23,-2,Oscar Ortiz - FIRST LOVE (w/ Edgardo Nuñez),18,19,,"32,352",-11,"218,160",+413,"475,620",Oscar Ortiz,FIRST LOVE (w/ Edgardo Nuñez),Ecuador
24,+1,Ozuna - Hey Mor (w/ Feid),491,1,(x1),"30,431",-164,"206,046",-515,"24,455,013",Ozuna,Hey Mor (w/ Feid),Ecuador
25,-2,Carin Leon - Primera Cita,227,7,,"29,762","-1,902","213,302","-2,489","7,189,039",Carin Leon,Primera Cita,Ecuador
26,+2,Bad Bunny - Me Porto Bonito (w/ Chencho Corleone),645,1,(x55),"29,095",+794,"178,899","+2,921","34,828,176",Bad Bunny,Me Porto Bonito (w/ Chencho Corleone),Ecuador
27,+5,Feid - Normal,582,3,(x1),"28,864","+1,598","185,682","+1,643","23,490,108",Feid,Normal,Ecuador
28,-1,Taiu - Rara Vez (w/ Milo j),359,6,,"28,817",+393,"198,594",+172,"11,900,006",Taiu,Rara Vez (w/ Milo j),Ecuador
29,+2,"Ryan Castro - QUEMA (w/ Peso Pluma, SOG)",211,17,,"28,359",+939,"178,914",+873,"6,033,373",Ryan Castro,"QUEMA (w/ Peso Pluma, SOG)",Ecuador
30,-1,Rauw Alejandro - DILUVIO,113,22,,"28,223",-75,"186,275",-500,"2,604,508",Rauw Alejandro,DILUVIO,Ecuador
1,+1,Eslam Kabonga - ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,155,1,(x20),"93,306","-3,421","640,185","+1,815","5,479,115",Eslam Kabonga,ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,Egypt
2,-1,Tamer Ashour - هيجيلي موجوع,28,1,(x14),"92,977","-10,837","663,058","+3,346","2,505,562",Tamer Ashour,هيجيلي موجوع,Egypt
3,=,Eslam Kabonga - اللي نفسه فيا بيتي ميتوهش,106,1,(x2),"57,084","-2,022","390,224","+1,463","4,414,216",Eslam Kabonga,اللي نفسه فيا بيتي ميتوهش,Egypt
4,=,Mahmoud El Leithy - سيبك من اللي خلع - من فيلم حمص وحلاوة (w/ Essam Sasa),122,1,(x73),"55,835","-2,213","367,815","+5,362","7,271,392",Mahmoud El Leithy,سيبك من اللي خلع - من فيلم حمص وحلاوة (w/ Essam Sasa),Egypt
5,=,Ameen Khattab - سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),37,5,,"41,668","-3,724","292,620","+3,101","1,013,832",Ameen Khattab,سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),Egypt
6,=,Sherine - كلام عينيه,158,2,(x9),"37,908","-2,334","270,356",+199,"5,050,434",Sherine,كلام عينيه,Egypt
7,=,Marwan Pablo - El Mabda2,75,1,(x7),"37,264","-2,156","257,998","+1,878","3,513,341",Marwan Pablo,El Mabda2,Egypt
8,+1,Marwan Pablo - Matafetch,75,3,(x3),"34,499","-2,319","244,880",+513,"2,762,922",Marwan Pablo,Matafetch,Egypt
9,-1,Assala Nasri - Fouq,130,8,,"34,488","-3,850","244,918","+3,377","2,779,035",Assala Nasri,Fouq,Egypt
10,+1,Magdy El Zahar - زماني صابني عيار (w/ Eslam Kabonga),32,10,,"32,902",-653,"216,877","+6,356","652,019",Magdy El Zahar,زماني صابني عيار (w/ Eslam Kabonga),Egypt
11,+1,Tamer Ashour - Khaleny Fe Hodnak,731,5,,"32,777",-311,"207,962","+7,480","7,220,116",Tamer Ashour,Khaleny Fe Hodnak,Egypt
12,-2,Kimo Eldeeb - يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ) (w/ Essam Sasa),83,2,(x14),"32,323","-1,329","228,599",+10,"3,646,981",Kimo Eldeeb,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ) (w/ Essam Sasa),Egypt
13,+1,Essam Sasa - نص سيطو مني ( احنا صحاب بلادنا ),238,2,(x1),"29,677","-3,102","209,034","+1,273","9,004,527",Essam Sasa,نص سيطو مني ( احنا صحاب بلادنا ),Egypt
14,+1,Muhab - YAZMEELY,194,2,(x10),"29,473","-2,837","221,123","-1,568","5,961,774",Muhab,YAZMEELY,Egypt
15,-2,Haifa Wehbe - Woseltelha,26,5,,"29,371","-3,521","226,226","-3,436","853,254",Haifa Wehbe,Woseltelha,Egypt
16,+2,Eslam Kabonga - انا مش لومانجى ( نازل نيابه عندى جلسه ) (w/ Hoda Boda),43,11,,"28,578",-663,"199,663",-76,"889,198",Eslam Kabonga,انا مش لومانجى ( نازل نيابه عندى جلسه ) (w/ Hoda Boda),Egypt
17,-1,Ramy Sabry - يمكن خير,392,1,(x2),"28,370","-2,090","192,123","+3,705","10,949,813",Ramy Sabry,يمكن خير,Egypt
18,+1,حوده بوده - يلا نلعبو جوله (w/ اسلام كابونجا),30,17,,"27,815",-976,"191,477","+1,739","620,450",حوده بوده,يلا نلعبو جوله (w/ اسلام كابونجا),Egypt
19,-2,Ramy Gamal - جيت متأخر,73,6,,"26,169","-3,934","207,565","-1,696","2,209,344",Ramy Gamal,جيت متأخر,Egypt
20,+6,Fares Sokar - السكر جي (خوجة في الجمب),13,20,,"25,943",+331,"152,646","+10,054","228,307",Fares Sokar,السكر جي (خوجة في الجمب),Egypt
